Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Rice,Oryza sativa L.,Poaceae,,,01/11,31/12,60-80,kg/ha,null-null,116-120 days,20/02,10/03,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Sesame,Sesamum indicum L.,Pedaliaceae,Benniseed,,01/11,31/01,3-5,kg/ha,null-null,110-130 days,10/02,20/06,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Sorghum,Sorghum bicolor (L.) Moench,Poaceae,,,01/11,30/11,2-3,kg/ha,null-null,100-120 days,15/02,15/04,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Tomato,Lycopersicon esculentum Mill.,Solanaceae,,,01/03,31/05,150-200,kg/ha,null-null,105-120 days,15/06,30/09,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.","Wheat, common",Triticum aestivum L.,Poaceae,"Wheat, bread",,15/02,28/02,110-150,kg/ha,null-null,90-120 days,15/05,30/06,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.","Bean common, dry",Phaseolus vulgaris L.,Fabaceae,,,15/03,31/03,75-88,kg/ha,null-null,60-74 days,15/04,15/06,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.",Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,01/02,31/10,"10,000",cuttings/ha,null-null,240-360 days,01/09,30/09,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.",Coconut,Cocos nucifera L.,Arecaceae,,,01/02,31/10,77,plantlets/ha,null-null,7-10 years,,,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Long rainy season (masika),01/03,15/03,38-50,kg/ha,null-null,64-102 days,05/05,30/06,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Short rainy season (vuli),01/10,15/10,38-50,kg/ha,null-null,60-65 days,30/11,25/12,
United Republic of Tanzania ,Coastal Plains,"Pwani: Kibaha,Kisarawe, Bagamoyo, Rufiji nad Mafia. Tanga: Handeni, Kilindi, Korongwe, Muheza, Mkinga, Pangani and Tanga City. Morogoro: Morogoro Rural and Mvomero. Mtwara: Masasi, Newala, Tandahimba and Mtwara. Lindi: Lindi, Liwale, Ruangwa and Nachingwe","Main crops: cassava, simsim, finger millet, sorghum, cow pea, pigeon pea, pine apple, sweet potato, soybean, groundnut, passion fruit, finger millet, mango, cashew, cotton, mango, coconut, sisal, jatropha, citrus cloves, rubber, oil palm and sugar cane. Early maturing maize varieties grown in soils with high moisture storing capacity. Crop rotations: maize/beans/maize. Beans -maize/sorghum-cassava. tomato/maize/tomato. Main farming/cropping system: cashew/coconut/cassava; coconut/citrus/maize/cassava/sweet potato. Some shifting cultivation is still practiced. Rice/sugar system found in alluvial river valley (Rufiji, Kilombero river valleys, Morogoro, Mvomero and Pangani. Wet rice and irrigation system at river valleys and alluvial plains. Irrigation: The sugar cane plantations have modern irrigation facilities. Source of seed: mainly from informal system-own saved, gift or exchange or purchased from local market. The system provides about 90% of seeds. Formal system from stockist and provide about 10% of seed source. Fertilizer although recommended are used in small quantities. Major pests: insect pests (army worms, locust), birds (Quellea Quellea), rodents.",Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,,01/02,28/02,80-100,kg/ha,null-null,90-128 days,20/05,10/07,
